Epoch245---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch246---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch247---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch248---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch249---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch250---->precision:0.9846265756777737, recall:0.9791442696276533, f1:0.9818202257156372
Epoch251---->precision:0.9829667311920202, recall:0.9788872758661278, f1:0.9808905124664307
Epoch252---->precision:0.9866092521798893, recall:0.9800506140385294, f1:0.983237624168396
Epoch253---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch254---->precision:0.9846265756777737, recall:0.9791442696276533, f1:0.9818202257156372
Epoch255---->precision:0.9833134405483117, recall:0.9785400400204025, f1:0.9808769822120667
Epoch256---->precision:0.9839691477971211, recall:0.978842154824028, f1:0.9813485145568848
Epoch257---->precision:0.9842743967968652, recall:0.9794915054733786, f1:0.9818331599235535
Epoch258---->precision:0.9846265756777737, recall:0.9791442696276533, f1:0.9818202257156372
Epoch259---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch260---->precision:0.9860079947487661, recall:0.9787519127398281, f1:0.9822670221328735
Epoch261---->precision:0.9843781094527364, recall:0.9774983324832267, f1:0.9808360934257507
Epoch262---->precision:0.9839263018108779, recall:0.9798387413191039, f1:0.9818459749221802
Epoch263---->precision:0.9838905191802284, recall:0.9808353278141798, f1:0.9823424220085144
Epoch264---->precision:0.9835822664770033, recall:0.9801859771648291, f1:0.9818588495254517
Epoch265---->precision:0.9839263018108779, recall:0.9798387413191039, f1:0.9818459749221802
Epoch266---->precision:0.9839691477971211, recall:0.978842154824028, f1:0.9813485145568848
Epoch267---->precision:0.9846265756777737, recall:0.9791442696276533, f1:0.9818202257156372
Epoch268---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch269---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch270---->precision:0.9840191050603451, recall:0.977845568328952, f1:0.9808498024940491
Epoch271---->precision:0.9843226773925033, recall:0.9784949189783027, f1:0.9813351631164551
Epoch272---->precision:0.9843226773925033, recall:0.9784949189783027, f1:0.9813351631164551
Epoch273---->precision:0.9836642236815579, recall:0.9781928041746772, f1:0.9808633923530579
Epoch274---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch275---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch276---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch277---->precision:0.9855889276739893, recall:0.9800957350806294, f1:0.9827771186828613
Epoch278---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch279---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch280---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch281---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch282---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch283---->precision:0.9849828629929671, recall:0.9787970337819281, f1:0.9818073511123657
Epoch284---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch285---->precision:0.9843781094527364, recall:0.9774983324832267, f1:0.9808360934257507
Epoch286---->precision:0.9836642236815579, recall:0.9781928041746772, f1:0.9808633923530579
Epoch287---->precision:0.9839691477971211, recall:0.978842154824028, f1:0.9813485145568848
Epoch288---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch289---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch290---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch291---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch292---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch293---->precision:0.9858924535035889, recall:0.98074508572998, f1:0.9832614660263062
Epoch294---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch295---->precision:0.9840762225529027, recall:0.9768489818338761, f1:0.9803499579429626
Epoch296---->precision:0.9847412619300444, recall:0.9771510966375014, f1:0.9808223843574524
Epoch297---->precision:0.9837158579480645, recall:0.9771962176796014, f1:0.9803639650344849
Epoch298---->precision:0.982751393204123, recall:0.9762447522266253, f1:0.9794062376022339
Epoch299---->precision:0.9843226773925033, recall:0.9784949189783027, f1:0.9813351631164551
Best Result: Epoch71, precision:0.9861127551479396, recall:0.9833876093694824, f1:0.9847339391708374
