Epoch157---->precision:0.5506461298231047, recall:0.6818289289041403, f1:0.5311946868896484
Epoch158---->precision:0.547730821610927, recall:0.6776332236648153, f1:0.5219749808311462
Epoch159---->precision:0.5467394405034358, recall:0.6758723364111272, f1:0.518836259841919
Epoch160---->precision:0.5498912031102443, recall:0.681290609780545, f1:0.5285102725028992
Epoch161---->precision:0.5524313522440388, recall:0.6827000860838905, f1:0.5373847484588623
Epoch162---->precision:0.5528867549747193, recall:0.6753461044091461, f1:0.5431653261184692
Epoch163---->precision:0.5548094511370155, recall:0.6791452930979587, f1:0.5472167730331421
Epoch164---->precision:0.5562414951112725, recall:0.6802938644591455, f1:0.5509116649627686
Epoch165---->precision:0.557079147603679, recall:0.6821944906310067, f1:0.5524588823318481
Epoch166---->precision:0.55934452609519, recall:0.6898709920873575, f1:0.5555181503295898
Epoch167---->precision:0.5595669321543537, recall:0.6902100211082417, f1:0.5559937953948975
Epoch168---->precision:0.5599556375083149, recall:0.6944263628966639, f1:0.5552822351455688
Epoch169---->precision:0.5596886446886447, recall:0.6873518590582659, f1:0.5574930906295776
Epoch170---->precision:0.5638425520853146, recall:0.6899859671466138, f1:0.5669906139373779
Epoch171---->precision:0.5694634529183091, recall:0.694861794082617, f1:0.578058123588562
Epoch172---->precision:0.5735593923301564, recall:0.7028731972500324, f1:0.584579348564148
Epoch173---->precision:0.5752022150453858, recall:0.7117085883421186, f1:0.5860196948051453
Epoch174---->precision:0.5704897926807861, recall:0.7177105812431457, f1:0.5741052627563477
Epoch175---->precision:0.5651683383853604, recall:0.7152860815320574, f1:0.5611320734024048
Epoch176---->precision:0.5664599207035912, recall:0.7301788893998892, f1:0.5582188963890076
Epoch177---->precision:0.5633923443634146, recall:0.7345535430006722, f1:0.5452616810798645
Epoch178---->precision:0.5658694197207402, recall:0.7448806617846488, f1:0.5480827689170837
Epoch179---->precision:0.5722352417181122, recall:0.7487208287638117, f1:0.567158579826355
Epoch180---->precision:0.575117332376335, recall:0.7537405219278075, f1:0.5732940435409546
Epoch181---->precision:0.5746491163785499, recall:0.7594568460277591, f1:0.5695838928222656
Epoch182---->precision:0.5742749166256629, recall:0.7563295244159856, f1:0.5698385238647461
Epoch183---->precision:0.5726463143797806, recall:0.7630054480489616, f1:0.5616361498832703
Epoch184---->precision:0.5718604871348014, recall:0.7640307897312533, f1:0.5584239959716797
Epoch185---->precision:0.572612354542559, recall:0.767156047688117, f1:0.5593012571334839
Epoch186---->precision:0.5775732221041242, recall:0.7703942170493272, f1:0.5734564661979675
Epoch187---->precision:0.5809992176396709, recall:0.7687462411999859, f1:0.5834642052650452
Epoch188---->precision:0.5863748039396466, recall:0.772874140635134, f1:0.5952340364456177
Epoch189---->precision:0.5871667875413489, recall:0.7738234218936098, f1:0.5967807769775391
Epoch190---->precision:0.5873841348533669, recall:0.7783787927029162, f1:0.5960514545440674
Epoch191---->precision:0.5867701817046872, recall:0.776204879659438, f1:0.5952319502830505
Epoch192---->precision:0.582452205575787, recall:0.7713927312177922, f1:0.5862734913825989
Epoch193---->precision:0.5835250765396736, recall:0.7851266494498885, f1:0.5842949151992798
Epoch194---->precision:0.585000684968617, recall:0.7844403367884814, f1:0.5884084701538086
Epoch195---->precision:0.5880513399141515, recall:0.7755884364571173, f1:0.5983091592788696
Epoch196---->precision:0.5911151485740325, recall:0.7768705557717479, f1:0.6046388149261475
Epoch197---->precision:0.5881703433777651, recall:0.7793280739613919, f1:0.5975982546806335
Epoch198---->precision:0.587082544891232, recall:0.7857923255621986, f1:0.5931796431541443
Epoch199---->precision:0.5831018477356933, recall:0.7851965189089751, f1:0.5831230282783508
Epoch200---->precision:0.5845418843203473, recall:0.7858704496409241, f1:0.5867280960083008
Epoch201---->precision:0.5878393217877658, recall:0.7881696560182074, f1:0.5942981839179993
Epoch202---->precision:0.5911057570041376, recall:0.7914900767679627, f1:0.60105299949646
Epoch203---->precision:0.5915145889451519, recall:0.7963166707939765, f1:0.6006836891174316
Epoch204---->precision:0.5913375167058703, recall:0.7939372766830579, f1:0.6009262204170227
Epoch205---->precision:0.5891762496630071, recall:0.7969372413061167, f1:0.5948737859725952
Epoch206---->precision:0.5938505758609793, recall:0.7990967087652268, f1:0.6052898168563843
Epoch207---->precision:0.596290476741278, recall:0.8011288192356223, f1:0.6101614832878113
Epoch208---->precision:0.5922460495000679, recall:0.8044061980401174, f1:0.6001051664352417
Epoch209---->precision:0.5866792887584422, recall:0.8051768257449794, f1:0.5853538513183594
Epoch210---->precision:0.5878024352385454, recall:0.8088445301352578, f1:0.5870781540870667
Epoch211---->precision:0.5978331823782363, recall:0.8110511668494476, f1:0.6111770272254944
Epoch212---->precision:0.5987409306390874, recall:0.8135641089138099, f1:0.6125668287277222
Epoch213---->precision:0.5921084799148754, recall:0.8176675392978856, f1:0.5955260992050171
Epoch214---->precision:0.5893672198356842, recall:0.8192435820332307, f1:0.5873979330062866
Epoch215---->precision:0.6076900236437914, recall:0.8453570712609522, f1:0.6246494054794312
Epoch216---->precision:0.5908649910468198, recall:0.7654482258463933, f1:0.6064815521240234
Epoch217---->precision:0.6280102151171139, recall:0.8487780214855958, f1:0.6617695093154907
Epoch218---->precision:0.6190556620236332, recall:0.819498001202816, f1:0.6495649814605713
Epoch219---->precision:0.5972174224506913, recall:0.8184646997087299, f1:0.6078870892524719
Epoch220---->precision:0.577984753473503, recall:0.800666855343687, f1:0.5591657161712646
Epoch221---->precision:0.5735578770234248, recall:0.7912397849081968, f1:0.547458291053772
Epoch222---->precision:0.5773511267861182, recall:0.7935944151601986, f1:0.5610969662666321
Epoch223---->precision:0.6087540867716795, recall:0.8269979127604628, f1:0.6304346323013306
Epoch224---->precision:0.6102452562010787, recall:0.8323648895649816, f1:0.6324130892753601
Epoch225---->precision:0.6103114333420936, recall:0.8276739071473214, f1:0.6333098411560059
Epoch226---->precision:0.5907540998632717, recall:0.8199175127651797, f1:0.5910549759864807
Epoch227---->precision:0.5799877744560936, recall:0.8120850579592223, f1:0.5596783757209778
Epoch228---->precision:0.5835996905386542, recall:0.8151239372177215, f1:0.5712003111839294
Epoch229---->precision:0.5964830206005104, recall:0.8305712786405821, f1:0.6025213003158569
Epoch230---->precision:0.6261681817590679, recall:0.8432076272685464, f1:0.659217894077301
Epoch231---->precision:0.6234473003763344, recall:0.8411734531432412, f1:0.6549230813980103
Epoch232---->precision:0.6146790765540454, recall:0.8364332378155919, f1:0.6401504278182983
Epoch233---->precision:0.5949510628552109, recall:0.828537104515277, f1:0.5992497801780701
Epoch234---->precision:0.5902702082403977, recall:0.8293056685652291, f1:0.5858356952667236
Epoch235---->precision:0.6076604831969639, recall:0.8414818221483238, f1:0.6254364252090454
Epoch236---->precision:0.6221912257297308, recall:0.8493328498484687, f1:0.6519516706466675
Epoch237---->precision:0.6438834007314636, recall:0.8511326517375974, f1:0.6853766441345215
Epoch238---->precision:0.6641178839226441, recall:0.8556632586879871, f1:0.7114548683166504
Epoch239---->precision:0.6861737115631907, recall:0.8612171436657587, f1:0.7365864515304565
Epoch240---->precision:0.688181395216202, recall:0.8637978915342979, f1:0.7390263080596924
Epoch241---->precision:0.6666204337456214, recall:0.8585830355774107, f1:0.7146327495574951
Epoch242---->precision:0.6559744343095144, recall:0.8547201683942406, f1:0.7014217972755432
Epoch243---->precision:0.6260062073939175, recall:0.8515005719272178, f1:0.6582416892051697
Epoch244---->precision:0.6095203115507941, recall:0.8480713670829354, f1:0.627955436706543
Epoch245---->precision:0.6127523267982322, recall:0.8505781181825687, f1:0.6341132521629333
Epoch246---->precision:0.6280406270433666, recall:0.8580901168618295, f1:0.6610342264175415
Epoch247---->precision:0.6487848702005339, recall:0.8663500430419453, f1:0.6921464204788208
Epoch248---->precision:0.6644978503752291, recall:0.8706135540854472, f1:0.7128356695175171
Epoch249---->precision:0.6805057842642728, recall:0.8763071779813918, f1:0.7321698665618896
Epoch250---->precision:0.6891910348313932, recall:0.8650882654685677, f1:0.740250825881958
Epoch251---->precision:0.6737857891036064, recall:0.8699251777691301, f1:0.7239110469818115
Epoch252---->precision:0.6505379637783819, recall:0.8709012865414323, f1:0.6945714950561523
Epoch253---->precision:0.6465694434666137, recall:0.8713143123312226, f1:0.6889676451683044
Epoch254---->precision:0.6561416195081388, recall:0.8684478956616077, f1:0.7020986676216125
Epoch255---->precision:0.6539409545316847, recall:0.8691300810131956, f1:0.6991941928863525
Epoch256---->precision:0.6567049890938759, recall:0.8732724260327118, f1:0.7029504179954529
Epoch257---->precision:0.6609859429108093, recall:0.8708210988077971, f1:0.7084358930587769
Epoch258---->precision:0.6849095421996767, recall:0.874129137628094, f1:0.7368259429931641
Epoch259---->precision:0.6876337499342229, recall:0.8731757290597988, f1:0.7396574020385742
Epoch260---->precision:0.6662777370878072, recall:0.8732621077581633, f1:0.7151765823364258
Epoch261---->precision:0.6536616380556037, recall:0.8761983938868645, f1:0.6988860368728638
