Epoch102---->precision:0.8527515638642698, recall:0.8730583383930379, f1:0.8623822927474976
Epoch103---->precision:0.8501603765279195, recall:0.8722898957700871, f1:0.8605989217758179
Epoch104---->precision:0.8496156321510298, recall:0.8710553278688524, f1:0.8597464561462402
Epoch105---->precision:0.8500882177421447, recall:0.8754813043918235, f1:0.8619605898857117
Epoch106---->precision:0.8550352152334941, recall:0.8748052013762396, f1:0.8644287586212158
Epoch107---->precision:0.855233957856598, recall:0.8770181896377252, f1:0.8655301332473755
Epoch108---->precision:0.862432765356, recall:0.873662973082372, f1:0.8678929805755615
Epoch109---->precision:0.8500084636503609, recall:0.8818641216352965, f1:0.864640474319458
Epoch110---->precision:0.8486597788670209, recall:0.8771819975713417, f1:0.861876368522644
Epoch111---->precision:0.8632426017948528, recall:0.87170613236187, f1:0.8673865795135498
Epoch112---->precision:0.8426707359207648, recall:0.8763673851447076, f1:0.8580302000045776
Epoch113---->precision:0.8419477444972301, recall:0.8793026462254605, f1:0.8587915897369385
Epoch114---->precision:0.8539437497061727, recall:0.8809318710787291, f1:0.8665199279785156
Epoch115---->precision:0.8566161535559875, recall:0.8731045081967213, f1:0.8645201921463013
Epoch116---->precision:0.8470066211391132, recall:0.8798611111111111, f1:0.862040638923645
Epoch117---->precision:0.8494569849130484, recall:0.8838209623557984, f1:0.8651286363601685
Epoch118---->precision:0.8612754641116668, recall:0.8591504756122242, f1:0.8602073788642883
Epoch119---->precision:0.8316962962149579, recall:0.8820993978951629, f1:0.853431761264801
Epoch120---->precision:0.8313878101649629, recall:0.8840562386156648, f1:0.8539332151412964
Epoch121---->precision:0.8702219336560029, recall:0.8570298269581056, f1:0.8634161949157715
Epoch122---->precision:0.833670163924221, recall:0.8796764318963772, f1:0.8538066148757935
Epoch123---->precision:0.8248100463426962, recall:0.8837077514673144, f1:0.8493970632553101
Epoch124---->precision:0.8544986628127506, recall:0.8735706334750051, f1:0.863576352596283
Epoch125---->precision:0.8666243442640083, recall:0.8550268164339203, f1:0.8606616258621216
Epoch126---->precision:0.8418697728751745, recall:0.8761112376037239, f1:0.8574486374855042
Epoch127---->precision:0.8256127830545805, recall:0.8829854786480469, f1:0.8497006297111511
Epoch128---->precision:0.8437303955498043, recall:0.8756451123254402, f1:0.8583569526672363
Epoch129---->precision:0.8587397843366873, recall:0.86502099777373, f1:0.8618313074111938
Epoch130---->precision:0.8550101749804888, recall:0.8694008044930176, f1:0.8619446754455566
Epoch131---->precision:0.8413922489120378, recall:0.8780680783242258, f1:0.8579587936401367
Epoch132---->precision:0.8249563962689613, recall:0.876602661404574, f1:0.8470432758331299
Epoch133---->precision:0.8429791891086613, recall:0.878580373406193, f1:0.8591201901435852
Epoch134---->precision:0.848615754094206, recall:0.8653947834446468, f1:0.8566427826881409
Epoch135---->precision:0.8513419928953317, recall:0.8715676229508197, f1:0.8609336614608765
Epoch136---->precision:0.8553781866281867, recall:0.8738267810159887, f1:0.8641749024391174
Epoch137---->precision:0.8453592084175319, recall:0.8761574074074074, f1:0.8595261573791504
Epoch138---->precision:0.8431766746433673, recall:0.8744105444242056, f1:0.8575162887573242
Epoch139---->precision:0.8445286129764996, recall:0.8695184426229509, f1:0.8562089204788208
Epoch140---->precision:0.8465051151897502, recall:0.869052317344667, f1:0.8571200370788574
Epoch141---->precision:0.8583408879245432, recall:0.865999418133981, f1:0.8620970249176025
Epoch142---->precision:0.8541165621094271, recall:0.869144656952034, f1:0.8613454103469849
Epoch143---->precision:0.8500377675297464, recall:0.8786727130135601, f1:0.8633076548576355
Epoch144---->precision:0.8448079701630747, recall:0.8749228395061728, f1:0.858684778213501
Epoch145---->precision:0.8487582716454775, recall:0.8707991803278688, f1:0.8591543436050415
Epoch146---->precision:0.8528825382266687, recall:0.8698669297713013, f1:0.8610090017318726
